clusters,Countries,Genres,Years,Ratings,Durations,Productions
0,"{'United States': 64, 'India': 12, 'Japan': 7, 'Turkey': 6, 'United Kingdom': 4, 'South Korea': 4, 'Colombia': 2, 'Canada': 2, 'Thailand': 2, 'Germany': 2, 'China': 2, 'Poland': 2, 'France': 2, 'Italy': 1, 'Nigeria': 1, 'New Zealand': 1, 'Sweden': 1, 'Australia': 1, 'Indonesia': 1, 'Lebanon': 1, 'Denmark': 1, 'United Arab Emirates': 1, 'South Africa': 1, 'Mauritius': 1, 'Czech Republic': 1, 'Ireland': 1, 'Brazil': 1, 'Kenya': 1, 'Spain': 1, 'Mexico': 1, 'Portugal': 1, 'Hungary': 1}","{'Dramas': 30, 'Comedies': 21, 'Action & Adventure': 20, 'International TV Shows': 18, ""Kids' TV"": 12, 'Documentaries': 11, 'Children & Family Movies': 11, 'Crime TV Shows': 6, 'Thrillers': 5, 'Anime Series': 4, 'Docuseries': 4, 'British TV Shows': 4, 'Horror Movies': 4, 'Reality TV': 4, 'TV Dramas': 3, 'International Movies': 2, 'TV Comedies': 2, 'Movies': 2, 'TV Action & Adventure': 1, 'Classic Movies': 1, 'TV Shows': 1, 'Cult Movies': 1}","{2021.0: 57, 2020.0: 23, 2019.0: 10, 2015.0: 7, 2018.0: 7, 2017.0: 7, 1999.0: 5, 2001.0: 5, 2016.0: 5, 2013.0: 4, 2010.0: 4, 2009.0: 4, 2008.0: 3, 2002.0: 3, 2014.0: 3, 2012.0: 3, 1998.0: 2, 1984.0: 2, 2003.0: 2, 1996.0: 1, 1961.0: 1, 2011.0: 1, 1989.0: 1, 2006.0: 1, 1980.0: 1, 1988.0: 1, 1997.0: 1, 2004.0: 1, 1994.0: 1, 2007.0: 1}","{'TV-MA': 48, 'TV-14': 39, 'R': 23, 'PG-13': 21, 'TV-PG': 10, 'TV-Y': 9, 'PG': 8, 'TV-Y7': 7, 'TV-G': 2}","{'1 Season': 33, '2 Seasons': 10, '95 min': 6, '94 min': 5, '93 min': 5, '98 min': 5, '83 min': 4, '107 min': 4, '101 min': 4, '88 min': 4, '108 min': 4, '106 min': 4, '127 min': 3, '99 min': 3, '105 min': 3, '3 Seasons': 3, '92 min': 3, '76 min': 3, '100 min': 2, '64 min': 2, '128 min': 2, '6 Seasons': 2, '133 min': 2, '104 min': 2, '142 min': 2, '118 min': 2, '136 min': 2, '121 min': 2, '126 min': 2, '161 min': 1, '150 min': 1, '156 min': 1, '115 min': 1, '63 min': 1, '102 min': 1, '229 min': 1, '85 min': 1, '91 min': 1, '138 min': 1, '65 min': 1, '82 min': 1, '189 min': 1, '125 min': 1, '130 min': 1, '4 Seasons': 1, '120 min': 1, '159 min': 1, '36 min': 1, '132 min': 1, '72 min': 1, '89 min': 1, '112 min': 1, '109 min': 1, '204 min': 1, '149 min': 1, '90 min': 1, '33 min': 1, '158 min': 1, '103 min': 1, '97 min': 1, '119 min': 1, '162 min': 1, '113 min': 1, '123 min': 1, '116 min': 1, '96 min': 1, '148 min': 1, '145 min': 1}",167
1,"{'United States': 515, 'India': 88, 'United Kingdom': 62, 'Japan': 37, 'Nigeria': 26, 'France': 25, 'South Korea': 24, 'Spain': 23, 'Turkey': 20, 'Mexico': 16, 'Australia': 14, 'Germany': 13, 'Canada': 13, 'Indonesia': 11, 'Argentina': 11, 'China': 10, 'Italy': 10, 'Taiwan': 8, 'Belgium': 6, 'Brazil': 6, 'Egypt': 6, 'Thailand': 5, 'Philippines': 5, 'Israel': 4, 'Colombia': 4, 'Lebanon': 4, 'South Africa': 4, 'Ireland': 3, 'Russia': 3, 'Poland': 3, 'Romania': 3, 'Netherlands': 2, 'Sweden': 2, 'Uruguay': 2, 'United Arab Emirates': 2, 'Vietnam': 2, 'Norway': 2, 'Hong Kong': 1, 'Singapore': 1, 'Finland': 1, 'Malaysia': 1, 'Switzerland': 1, 'Bulgaria': 1, 'Saudi Arabia': 1, 'Jordan': 1, 'Syria': 1, 'Iceland': 1, 'Austria': 1, 'Cameroon': 1, 'Chile': 1, 'Luxembourg': 1, 'Bangladesh': 1, 'Portugal': 1}","{'Dramas': 232, 'Comedies': 176, 'Action & Adventure': 172, 'International TV Shows': 113, 'Children & Family Movies': 103, 'Documentaries': 88, ""Kids' TV"": 76, 'Crime TV Shows': 57, 'Docuseries': 44, 'Horror Movies': 37, 'Anime Series': 36, 'Reality TV': 28, 'British TV Shows': 27, 'TV Comedies': 25, 'Thrillers': 17, 'Stand-Up Comedy': 17, 'International Movies': 14, 'TV Dramas': 11, 'TV Action & Adventure': 11, 'Romantic TV Shows': 11, 'Classic Movies': 8, 'Movies': 5, 'TV Shows': 4, 'TV Horror': 3, 'Stand-Up Comedy & Talk Shows': 3, 'Classic & Cult TV': 3, 'Independent Movies': 3, 'Sci-Fi & Fantasy': 2, 'Anime Features': 2, 'Cult Movies': 1, 'Spanish-Language TV Shows': 1}","{2021.0: 532, 2020.0: 149, 2019.0: 88, 2018.0: 67, 2016.0: 40, 2017.0: 38, 2013.0: 36, 2015.0: 34, 2010.0: 32, 2011.0: 30, 2014.0: 29, 2012.0: 29, 2009.0: 23, 2008.0: 22, 2003.0: 16, 2005.0: 14, 2006.0: 14, 2004.0: 12, 1997.0: 11, 2007.0: 11, 1993.0: 9, 2001.0: 9, 2000.0: 7, 1995.0: 7, 1999.0: 6, 1992.0: 6, 1998.0: 5, 2002.0: 5, 1994.0: 5, 1996.0: 5, 1986.0: 4, 1981.0: 4, 1988.0: 4, 1991.0: 3, 1990.0: 3, 1989.0: 2, 1982.0: 2, 1987.0: 2, 1983.0: 2, 1976.0: 2, 1967.0: 2, 1975.0: 1, 1978.0: 1, 1959.0: 1, 1985.0: 1, 1980.0: 1, 1984.0: 1, 1972.0: 1, 1964.0: 1, 1945.0: 1, 1973.0: 1}","{'TV-MA': 441, 'TV-14': 287, 'R': 167, 'PG-13': 125, 'TV-PG': 87, 'TV-Y7': 80, 'PG': 50, 'TV-Y': 48, 'TV-G': 42, 'G': 4}","{'1 Season': 261, '2 Seasons': 88, '3 Seasons': 47, '97 min': 36, '102 min': 31, '101 min': 29, '4 Seasons': 24, '90 min': 23, '94 min': 21, '91 min': 21, '96 min': 20, '98 min': 19, '89 min': 19, '99 min': 19, '95 min': 18, '113 min': 18, '116 min': 18, '103 min': 17, '104 min': 17, '5 Seasons': 16, '106 min': 15, '100 min': 15, '87 min': 15, '88 min': 15, '115 min': 15, '105 min': 15, '86 min': 14, '92 min': 14, '93 min': 14, '112 min': 13, '114 min': 13, '107 min': 13, '118 min': 13, '85 min': 13, '110 min': 12, '108 min': 11, '119 min': 11, '109 min': 11, '123 min': 11, '111 min': 11, '124 min': 9, '121 min': 9, '84 min': 9, '6 Seasons': 8, '120 min': 8, '117 min': 8, '127 min': 8, '122 min': 8, '133 min': 7, '145 min': 7, '131 min': 7, '81 min': 6, '76 min': 6, '143 min': 6, '128 min': 6, '7 Seasons': 6, '70 min': 6, '136 min': 5, '64 min': 5, '68 min': 5, '60 min': 5, '139 min': 5, '78 min': 5, '125 min': 4, '135 min': 4, '138 min': 4, '58 min': 4, '126 min': 4, '82 min': 4, '80 min': 4, '140 min': 4, '61 min': 3, '65 min': 3, '147 min': 3, '71 min': 3, '74 min': 3, '141 min': 3, '182 min': 3, '83 min': 3, '148 min': 3, '129 min': 3, '36 min': 3, '32 min': 3, '132 min': 3, '9 Seasons': 2, '67 min': 2, '134 min': 2, '137 min': 2, '69 min': 2, '130 min': 2, '13 min': 2, '151 min': 2, '75 min': 2, '181 min': 2, '142 min': 2, '165 min': 2, '39 min': 2, '63 min': 2, '54 min': 2, '35 min': 2, '77 min': 2, '73 min': 2, '166 min': 1, '154 min': 1, '23 min': 1, '48 min': 1, '59 min': 1, '38 min': 1, '8 Seasons': 1, '62 min': 1, '66 min': 1, '10 Seasons': 1, '46 min': 1, '17 Seasons': 1, '29 min': 1, '25 min': 1, '212 min': 1, '49 min': 1, '155 min': 1, '12 min': 1, '273 min': 1, '34 min': 1, '162 min': 1, '224 min': 1, '79 min': 1, '37 min': 1, '55 min': 1, '164 min': 1, '47 min': 1, '15 min': 1, '185 min': 1, '173 min': 1, '149 min': 1, '21 min': 1, '51 min': 1, '24 min': 1, '42 min': 1, '22 min': 1, '177 min': 1, '13 Seasons': 1, '52 min': 1, '161 min': 1, '14 min': 1, '53 min': 1, '146 min': 1, '158 min': 1}",1331
